ph,treatment,disease,Lead,Mercury,Arsenic,Fluoride,Pesticides,Bacteria
7.65,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
7.9,Activated Carbon Filter + Granular Activated Carbon + Ion Exchange / Coagulation,"Brain damage, Hormonal imbalance, Skin lesions, Cancer",0,1,1,0,1,0
9.71,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,1,0,0,0,0,0
7.63,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
5.89,Activated Carbon Filter + Granular Activated Carbon,"Brain damage, Hormonal imbalance",0,1,0,0,1,0
5.41,Activated Alumina + Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,1,0
6.98,Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skin lesions, Cancer",0,1,1,0,0,0
5.15,Activated Alumina + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skeletal Fluorosis",1,0,0,1,0,0
9.3,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,0,0,0,0,1
5.87,Activated Carbon Filter + Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid, Skin lesions, Cancer",0,1,1,0,0,1
6.91,No treatment needed,Healthy,0,0,0,0,0,0
7.62,Granular Activated Carbon + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage, Skin lesions, Cancer",1,0,1,0,1,0
6.35,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
7.57,Activated Alumina + Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skeletal Fluorosis",1,1,0,1,0,0
8.35,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
7.65,Activated Alumina + UV Sterilization / Chlorination,"Cholera, Typhoid, Skeletal Fluorosis",0,0,0,1,0,1
6.61,Activated Alumina + UV Sterilization / Chlorination,"Cholera, Typhoid, Skeletal Fluorosis",0,0,0,1,0,1
9.35,Activated Alumina + Granular Activated Carbon + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance, Skeletal Fluorosis",0,0,0,1,1,1
4.25,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
7.62,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,0,0,0,0,0
8.89,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
9.87,Activated Alumina + Activated Carbon Filter + Granular Activated Carbon,"Brain damage, Hormonal imbalance, Skeletal Fluorosis",0,1,0,1,1,0
4.77,Granular Activated Carbon + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage, Skin lesions, Cancer",1,0,1,0,1,0
4.03,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
9.28,Granular Activated Carbon + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage, Skin lesions, Cancer",1,0,1,0,1,0
6.98,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
5.28,Activated Alumina + Activated Carbon Filter,"Brain damage, Skeletal Fluorosis",0,1,0,1,0,0
6.72,Granular Activated Carbon + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance",0,0,0,0,1,1
5.86,Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage",1,1,0,0,0,0
7.83,No treatment needed,Healthy,0,0,0,0,0,0
7.13,Activated Alumina + Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,1,0
4.09,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
5.38,Granular Activated Carbon + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance",0,0,0,0,1,1
6.13,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
6.74,No treatment needed,Healthy,0,0,0,0,0,0
8.21,Activated Carbon Filter + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skin lesions, Cancer",1,1,1,0,0,0
9.64,Activated Alumina + Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,0,1
4.59,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
9.2,Activated Alumina + Ion Exchange / Coagulation,"Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,0,0
4.25,Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid",0,1,0,0,0,1
6.1,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
9.98,Activated Alumina + Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,0,1
6.02,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
6.63,Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid",0,1,0,0,0,1
4.15,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
7.84,Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage, Skin lesions, Cancer",1,0,1,0,0,1
8.28,Activated Alumina + Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage, Skeletal Fluorosis",1,0,0,1,1,0
9.89,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
9.6,Activated Carbon Filter + Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid, Skin lesions, Cancer",0,1,1,0,0,1
7.06,No treatment needed,Healthy,0,0,0,0,0,0
6.89,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
7.14,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
8.0,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
5.15,Granular Activated Carbon + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage, Skin lesions, Cancer",1,0,1,0,1,0
4.55,Activated Carbon Filter + Granular Activated Carbon + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid, Hormonal imbalance",0,1,0,0,1,1
4.01,Activated Carbon Filter + Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Brain damage, Hormonal imbalance, Nervous system damage",1,1,0,0,1,0
8.13,Activated Alumina + Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skeletal Fluorosis, Skin lesions, Cancer",0,1,1,1,0,0
6.18,Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skin lesions, Cancer",0,1,1,0,0,0
8.23,No treatment needed,Healthy,0,0,0,0,0,0
7.91,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
7.04,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
4.56,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,1,1,1,0,0,0
7.27,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
9.09,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
7.6,No treatment needed,Healthy,0,0,0,0,0,0
9.3,Activated Alumina + UV Sterilization / Chlorination,"Cholera, Typhoid, Skeletal Fluorosis",0,0,0,1,0,1
8.51,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,0,0,0,0,0
8.26,Granular Activated Carbon + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance",0,0,0,0,1,1
4.3,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
5.86,Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skin lesions, Cancer",0,0,1,0,1,0
9.51,Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage",1,0,0,0,0,1
6.19,Activated Alumina + Activated Carbon Filter + Granular Activated Carbon,"Brain damage, Hormonal imbalance, Skeletal Fluorosis",0,1,0,1,1,0
8.55,Activated Alumina + Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skeletal Fluorosis, Skin lesions, Cancer",0,1,1,1,0,0
9.49,Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage, Skin lesions, Cancer",1,0,1,0,0,1
5.34,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
8.29,Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid",0,1,0,0,0,1
6.19,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
7.08,Activated Alumina + Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid, Skeletal Fluorosis",0,1,0,1,0,1
6.14,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
7.29,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
6.08,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
4.0,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
9.73,Activated Carbon Filter + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skin lesions, Cancer",1,1,1,0,0,0
9.36,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
6.29,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
4.05,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
4.38,Activated Alumina + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skeletal Fluorosis",1,0,0,1,0,0
6.27,Activated Alumina + Granular Activated Carbon,"Hormonal imbalance, Skeletal Fluorosis",0,0,0,1,1,0
4.13,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
8.46,No treatment needed,Healthy,0,0,0,0,0,0
6.27,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
5.69,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
5.46,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
7.42,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
4.37,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
8.42,Activated Alumina + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skeletal Fluorosis",1,0,0,1,0,0
8.64,Activated Alumina + Granular Activated Carbon + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance, Skeletal Fluorosis",0,0,0,1,1,1
9.23,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
8.01,No treatment needed,Healthy,0,0,0,0,0,0
9.23,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
9.18,Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid",0,1,0,0,0,1
9.38,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
6.06,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
6.83,Activated Alumina + Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skeletal Fluorosis",1,1,0,1,0,0
4.34,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
8.61,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
9.25,Activated Alumina + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skeletal Fluorosis",1,0,0,1,0,0
8.16,Activated Carbon Filter + Granular Activated Carbon,"Brain damage, Hormonal imbalance",0,1,0,0,1,0
7.91,No treatment needed,Healthy,0,0,0,0,0,0
5.96,Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Skin lesions, Cancer",0,0,1,0,0,1
7.13,No treatment needed,Healthy,0,0,0,0,0,0
7.02,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
9.03,Granular Activated Carbon + Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance, Skin lesions, Cancer",0,0,1,0,1,1
5.14,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,1,1,0,0,0,0
4.58,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
5.19,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
7.76,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
8.31,No treatment needed,Healthy,0,0,0,0,0,0
7.27,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
5.47,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
4.09,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
9.26,Activated Alumina + Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,1,0
7.34,No treatment needed,Healthy,0,0,0,0,0,0
9.4,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
9.42,Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage",1,1,0,0,0,0
7.58,Activated Alumina + Granular Activated Carbon + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance, Skeletal Fluorosis",0,0,0,1,1,1
7.79,Activated Carbon Filter + Granular Activated Carbon + Ion Exchange / Coagulation,"Brain damage, Hormonal imbalance, Skin lesions, Cancer",0,1,1,0,1,0
9.47,Activated Alumina + Activated Carbon Filter,"Brain damage, Skeletal Fluorosis",0,1,0,1,0,0
5.88,Activated Carbon Filter + Granular Activated Carbon,"Brain damage, Hormonal imbalance",0,1,0,0,1,0
6.55,No treatment needed,Healthy,0,0,0,0,0,0
9.96,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
8.41,Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage, Skin lesions, Cancer",1,0,1,0,0,1
4.76,Activated Carbon Filter,Brain damage,0,1,0,0,0,0
6.57,No treatment needed,Healthy,0,0,0,0,0,0
6.93,Activated Alumina + Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid, Skeletal Fluorosis",0,1,0,1,0,1
5.37,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
4.45,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
8.83,Activated Alumina + Activated Carbon Filter + Granular Activated Carbon,"Brain damage, Hormonal imbalance, Skeletal Fluorosis",0,1,0,1,1,0
5.16,Activated Alumina + Activated Carbon Filter,"Brain damage, Skeletal Fluorosis",0,1,0,1,0,0
5.22,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
8.18,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
4.08,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
7.3,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
9.57,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
7.63,No treatment needed,Healthy,0,0,0,0,0,0
5.29,Granular Activated Carbon + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance, Nervous system damage",1,0,0,0,1,1
5.3,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
9.38,Activated Carbon Filter + Granular Activated Carbon,"Brain damage, Hormonal imbalance",0,1,0,0,1,0
6.81,Activated Alumina + Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,1,0
6.12,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
8.24,Activated Alumina + Granular Activated Carbon,"Hormonal imbalance, Skeletal Fluorosis",0,0,0,1,1,0
7.01,No treatment needed,Healthy,0,0,0,0,0,0
7.58,Activated Alumina + UV Sterilization / Chlorination,"Cholera, Typhoid, Skeletal Fluorosis",0,0,0,1,0,1
4.81,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
4.68,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
4.98,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
5.31,Activated Alumina + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skeletal Fluorosis, Skin lesions, Cancer",1,0,1,1,0,0
4.77,Activated Alumina + Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,1,0
8.39,No treatment needed,Healthy,0,0,0,0,0,0
9.76,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
10.0,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
6.88,Activated Alumina + Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skeletal Fluorosis",1,1,0,1,0,0
6.19,Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skin lesions, Cancer",1,0,1,0,0,0
6.23,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
6.33,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
8.38,Activated Carbon Filter + Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Brain damage, Hormonal imbalance, Nervous system damage",1,1,0,0,1,0
4.39,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
8.94,Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage",1,0,0,0,0,1
6.8,Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage",1,0,0,0,1,0
5.5,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
8.72,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
7.5,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
9.95,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
4.91,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
4.25,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
6.19,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
6.03,Activated Alumina + Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage, Skeletal Fluorosis",1,0,0,1,1,0
8.21,Activated Carbon Filter + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skin lesions, Cancer",1,1,1,0,0,0
4.19,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
6.06,UV Sterilization / Chlorination,"Cholera, Typhoid",0,0,0,0,0,1
4.51,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
4.49,Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skin lesions, Cancer",1,0,1,0,0,0
5.5,Activated Alumina + Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid, Skeletal Fluorosis",0,1,0,1,0,1
6.1,Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid",0,1,0,0,0,1
9.04,Activated Carbon Filter + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid, Nervous system damage",1,1,0,0,0,1
6.77,No treatment needed,Healthy,0,0,0,0,0,0
9.18,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
5.31,Activated Alumina + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skeletal Fluorosis",1,0,0,1,0,0
9.38,Granular Activated Carbon + Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance, Skin lesions, Cancer",0,0,1,0,1,1
6.83,No treatment needed,Healthy,0,0,0,0,0,0
5.15,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
8.3,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
7.16,No treatment needed,Healthy,0,0,0,0,0,0
6.38,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
5.96,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,0,0,1,0,0
4.58,Ion Exchange / Coagulation + UV Sterilization / Chlorination,"Cholera, Typhoid, Skin lesions, Cancer",0,0,1,0,0,1
6.66,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,1,0,0,0,0,0
9.38,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
8.71,Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage",1,0,0,0,1,0
7.99,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
4.42,Activated Alumina + Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skeletal Fluorosis, Skin lesions, Cancer",0,1,1,1,0,0
9.01,Activated Carbon Filter + Granular Activated Carbon + Ion Exchange / Coagulation,"Brain damage, Hormonal imbalance, Skin lesions, Cancer",0,1,1,0,1,0
8.99,Activated Alumina + Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,1,0
5.81,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
5.73,Activated Alumina + Activated Carbon Filter + Granular Activated Carbon,"Brain damage, Hormonal imbalance, Skeletal Fluorosis",0,1,0,1,1,0
8.66,Activated Alumina + Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid, Skeletal Fluorosis",0,1,0,1,0,1
9.29,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
9.55,Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage",1,0,0,0,0,1
5.26,Granular Activated Carbon + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Hormonal imbalance, Nervous system damage",1,0,0,0,1,1
6.07,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
9.73,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
6.76,No treatment needed,Healthy,0,0,0,0,0,0
5.29,Activated Carbon Filter + Granular Activated Carbon + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid, Hormonal imbalance",0,1,0,0,1,1
8.55,Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skin lesions, Cancer",1,0,1,0,0,0
9.57,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
9.51,Activated Alumina + Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skeletal Fluorosis",1,1,0,1,0,0
5.44,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
4.34,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
8.04,Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage",1,1,0,0,0,0
7.68,No treatment needed,Healthy,0,0,0,0,0,0
4.12,Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage",1,1,0,0,0,0
4.03,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
5.5,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,0,1,1,1,0
4.6,Activated Alumina + Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skeletal Fluorosis",1,1,0,1,0,0
5.46,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
4.21,Reverse Osmosis / Ion Exchange,Nervous system damage,1,0,0,0,0,0
8.53,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
6.77,Activated Alumina + Granular Activated Carbon + Ion Exchange / Coagulation,"Hormonal imbalance, Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,1,0
7.91,Activated Alumina + Activated Carbon Filter + Ion Exchange / Coagulation,"Brain damage, Skeletal Fluorosis, Skin lesions, Cancer",0,1,1,1,0,0
7.66,Activated Alumina + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skeletal Fluorosis, Skin lesions, Cancer",1,0,1,1,0,0
8.34,No treatment needed,Healthy,0,0,0,0,0,0
7.06,Activated Carbon Filter + Granular Activated Carbon + Ion Exchange / Coagulation,"Brain damage, Hormonal imbalance, Skin lesions, Cancer",0,1,1,0,1,0
6.56,Activated Alumina + Granular Activated Carbon + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage, Skeletal Fluorosis",1,0,0,1,1,0
4.13,Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage",1,1,0,0,0,0
9.4,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
8.76,Activated Carbon Filter + Granular Activated Carbon,"Brain damage, Hormonal imbalance",0,1,0,0,1,0
8.37,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,1,0,1,0,1,0
6.68,Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage",1,1,0,0,0,0
8.61,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
6.97,Activated Alumina + Reverse Osmosis / Ion Exchange,"Nervous system damage, Skeletal Fluorosis",1,0,0,1,0,0
8.01,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
7.65,No treatment needed,Healthy,0,0,0,0,0,0
9.38,Consult Specialist / Advanced Filtration,Unknown Contamination Risk,0,0,0,1,1,0
4.1,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
7.72,Activated Alumina + Activated Carbon Filter + Reverse Osmosis / Ion Exchange,"Brain damage, Nervous system damage, Skeletal Fluorosis",1,1,0,1,0,0
7.6,Activated Alumina + Activated Carbon Filter + UV Sterilization / Chlorination,"Brain damage, Cholera, Typhoid, Skeletal Fluorosis",0,1,0,1,0,1
4.46,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
8.97,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
6.73,Activated Alumina + Ion Exchange / Coagulation,"Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,0,0
5.4,Granular Activated Carbon + Ion Exchange / Coagulation + Reverse Osmosis / Ion Exchange,"Hormonal imbalance, Nervous system damage, Skin lesions, Cancer",1,0,1,0,1,0
6.91,Activated Alumina + Reverse Osmosis / Ion Exchange + UV Sterilization / Chlorination,"Cholera, Typhoid, Nervous system damage, Skeletal Fluorosis",1,0,0,1,0,1
7.29,No treatment needed,Healthy,0,0,0,0,0,0
4.47,Activated Alumina,Skeletal Fluorosis,0,0,0,1,0,0
8.54,Activated Alumina + Ion Exchange / Coagulation,"Skeletal Fluorosis, Skin lesions, Cancer",0,0,1,1,0,0
7.71,No treatment needed,Healthy,0,0,0,0,0,0
5.64,Ion Exchange / Coagulation,"Skin lesions, Cancer",0,0,1,0,0,0
8.7,pH adjustment (Add Acid),Skin irritation,0,0,0,0,0,0
8.93,Activated Carbon Filter + Granular Activated Carbon,"Brain damage, Hormonal imbalance",0,1,0,0,1,0
4.86,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
5.84,pH adjustment (Add Alkaline),Corrosion issues,0,0,0,0,0,0
9.52,Granular Activated Carbon,Hormonal imbalance,0,0,0,0,1,0
9.53,Activated Carbon Filter + Granular Activated Carbon,"Brain damage, Hormonal imbalance",0,1,0,0,1,0
